Pfr_ID,HOF,Age,All_Pro,Pro_Bowl,First_Team,G,Cmp,Pass_Att,Pass_Yds,Pass_TD,Pass_Int,Rush_Att,Rush_Yds,Rush_TDs,Rec,Rec_Yds,Rec_TDs,Tackles,Def_Int,Sacks
AdamDa01,No,21,0,0,2,39,,,,,,,,,141,1592,10,1,,
FaleDa00,No,23,0,0,0,,,,,,,,,,,,,,,
YankDa00,No,22,0,0,0,,,,,,,,,,,,,,,
ThomDe05,No,21,0,0,0,28,,,,,,25,149,2,44,322,1,,,
FordDe00,No,23,0,0,1,40,,,,,,,,,,,,46,,15.5
LawrDe00,No,22,0,0,1,30,,,,,,,,,,,,52,,9
GoodDe00,No,25,0,0,0,26,,,,,,,,,,,,18,,
RhanDe00,No,22,0,0,0,26,,,,,,,,,,,,,,
BucaDe00,No,22,0,0,2,42,,,,,,,,,,,,209,1,5
CarrDe02,No,23,0,1,3,42,953,1557,10057,73,29,86,292,0,0,0,0,1,,
StreDe00,No,23,0,0,0,32,,,,,,,,,10,152,1,,,
KennDe00,No,23,0,0,1,31,,,,,,,,,,,,95,1,4.5
FreeDe00,No,22,0,1,2,41,,,,,,475,1973,15,134,1055,6,3,,
McDoDe00,No,23,0,0,0,15,,,,,,,,,,,,1,,
SoutDe00,No,23,0,0,0,19,,,,,,,,,,,,17,1,1
EaslDo00,No,22,0,0,0,32,,,,,,,,,,,,29,1,5.5
JohnDo02,No,22,0,0,0,42,,,,,,,,,,,,52,1,
MoncDo00,No,21,0,0,1,38,,,,,,5,16,0,120,1428,14,3,,
ArchDr00,No,23,0,0,0,20,,,,,,10,40,0,7,23,0,,,
GainE.00,No,22,0,0,1,22,,,,,,,,,,,,93,2,
ReynEd00,No,22,0,0,0,11,,,,,,,,,,,,28,1,
StinEd00,No,24,0,0,0,29,,,,,,,,,,,,22,,1
FergEg00,No,23,0,0,0,20,,,,,,,,,,,,13,,2
EbroEr00,No,21,0,0,1,35,,,,,,1,1,1,107,1236,7,,,
PinkEr00,No,23,0,0,0,6,,,,,,,,,,,,,,
JackGa00,No,23,0,0,3,39,,,,,,,,,2,-5,0,,,
GilbGa01,No,23,0,0,0,,,,,,,,,,,,,,,
ScotGa01,No,22,0,0,0,,,,,,,,,,,,,,,
RobiGr01,No,21,0,0,3,42,,,,,,,,,,,,2,,
ClinHa00,No,21,0,0,3,42,,,,,,,,,,,,193,5,4.5
EnemIK00,No,23,0,0,0,17,,,,,,,,,,,,11,,
PricJa00,No,22,0,0,0,14,,,,,,,,,,,,9,,
AmarJa00,No,22,0,0,0,16,,,,,,,,,41,404,2,,,
MewhJa00,No,23,0,0,2,38,,,,,,,,,,,,2,,
ClowJa00,No,21,0,0,2,27,,,,,,,,,,,,65,,7.5
MattJa00,No,22,0,0,3,41,,,,,,,,,,,,1,,
SaunJa00,No,22,0,0,0,15,,,,,,,,,1,7,0,1,,
WhitJa02,No,22,0,0,0,27,,,,,,59,206,2,84,786,8,,,
WrigJa03,No,22,0,0,0,19,,,,,,5,24,0,11,141,0,6,,
AbbrJa00,No,23,0,0,0,14,,,,,,,,,10,119,0,,,
LandJa00,No,21,0,1,3,42,1,2,9,0,0,23,127,1,254,2601,11,4,,
VerrJa00,No,23,0,1,1,24,,,,,,,,,,,,71,5,
JameJa01,No,22,0,0,2,33,,,,,,,,,,,,1,,
BromJa00,No,22,0,0,0,34,,,,,,,,,,,,28,,1
ProsJa00,No,22,0,0,0,42,,,,,,9,37,0,2,30,0,1,,
WatkJa01,No,21,0,0,0,18,,,,,,,,,,,,14,,
JaniJe00,No,23,0,0,0,29,,,,,,,,,13,173,1,,,
ThomJe03,No,24,0,0,0,2,,,,,,,,,,,,,,
PagaJe00,No,21,0,0,0,22,,,,,,,,,,,,5,,
AttaJe00,No,21,0,0,1,33,,,,,,,,,,,,57,,10
GeorJe01,No,22,0,0,0,21,,,,,,,,,,,,4,,
GallJe00,No,24,0,0,0,,,,,,,,,,,,,,,
HillJe01,No,21,0,0,2,42,,,,,,580,2541,26,51,356,1,5,,
McKiJe00,No,22,0,0,0,37,,,,,,271,1125,3,63,396,1,1,,
